id,blue1,orange1,green1,red1,yellow1,start1,size1,blue2,orange2,green2,red2,yellow2,start2,size2,prob1,prob2,blue,orange,green,red,yellow
1,3,8,0,0,1,0,12,1,8,0,0,3,300,12,0.5,0.5,1,1,0,0,1
2,0,3,1,4,4,80,12,0,1,3,4,4,100,12,0.5,0.5,0,1,1,1,1
3,4,2,3,1,2,60,12,4,2,1,3,2,200,12,0.5,0.5,1,1,1,1,1
4,2,3,3,3,1,140,12,2,1,3,3,3,180,12,0.5,0.5,1,1,1,1,1
5,1,7,0,3,1,180,12,3,1,0,1,7,320,12,0.5,0.5,1,1,0,1,1
6,4,2,1,3,2,200,12,0,4,3,1,4,160,12,0.5,0.5,1,1,1,1,1
7,3,2,1,0,6,300,12,1,2,3,0,6,0,12,0.5,0.5,1,1,1,0,1
8,4,1,4,0,3,160,12,0,3,8,0,1,0,12,0.5,0.5,1,1,1,0,1
9,0,0,2,9,1,240,12,0,0,1,9,2,120,12,0.5,0.5,0,0,1,1,1
10,3,3,2,1,3,140,12,3,3,1,2,3,220,12,0.5,0.5,1,1,1,1,1
11,1,6,0,2,3,100,12,2,6,0,1,3,220,12,0.5,0.5,1,1,0,1,1
12,0,1,6,2,3,40,12,0,2,0,1,9,60,12,0.5,0.5,0,1,1,1,1
13,0,1,8,1,2,60,12,0,8,1,2,1,180,12,0.5,0.5,0,1,1,1,1
