id,blue1,orange1,green1,red1,yellow1,start1,size1,blue2,orange2,green2,red2,yellow2,start2,size2,prob1,prob2,blue,orange,green,red,yellow,qball
1,2,16,0,0,0,220,18,6,12,0,0,0,260,18,0.5,0.5,1,1,0,0,0,blue
2,2,4,12,0,0,220,18,6,3,9,0,0,160,18,0.5,0.5,1,1,1,0,0,orange
3,15,0,0,0,3,160,18,12,0,0,0,6,180,18,0.5,0.5,1,0,0,0,1,yellow
4,3,5,10,0,0,20,18,6,4,8,0,0,0,18,0.5,0.5,1,1,1,0,0,blue
5,3,9,0,0,6,80,18,4,12,0,0,2,260,18,0.5,0.5,1,1,0,0,1,blue
6,3,6,3,3,3,140,18,4,2,4,4,4,200,18,0.5,0.5,1,1,1,1,1,orange
7,6,5,7,0,0,20,18,2,16,0,0,0,340,18,0.5,0.5,1,1,1,0,0,blue
8,6,4,4,4,0,200,18,3,5,5,5,0,60,18,0.5,0.5,1,1,1,1,0,blue
9,0,0,6,3,9,20,18,0,0,3,15,0,20,18,0.5,0.5,0,0,1,1,1,green
10,4,2,4,4,4,120,18,3,6,3,3,3,220,18,0.5,0.5,1,1,1,1,1,red
11,3,5,5,5,0,280,18,6,4,4,4,0,40,18,0.5,0.5,1,1,1,1,0,green
12,6,4,8,0,0,220,18,3,5,10,0,0,100,18,0.5,0.5,1,1,1,0,0,orange
