id,blue1,green1,black1,red1,yellow1,pink1,size1,start1,blue2,green2,black2,red2,yellow2,pink2,size2,start2,prob1,prob2,blue,green,black,red,yellow,pink
1,1,3,8,0,0,,12,8,3,1,8,0,0,,12,2,0.5,0.5,1,1,1,0,0,0
2,0,1,3,4,4,,12,0,0,3,1,4,4,,12,3,0.5,0.5,0,1,1,1,1,0
3,3,2,3,3,1,,12,11,1,2,3,3,3,,12,0,0.5,0.5,1,1,1,1,1,0
4,1,3,7,1,0,,12,10,3,1,1,7,0,,12,3,0.5,0.5,1,1,1,1,0,0
5,3,2,6,0,1,,12,4,1,2,6,0,3,,12,5,0.5,0.5,1,1,1,0,1,0
6,0,1,3,4,4,,12,6,0,3,1,0,8,,12,0,0.5,0.5,0,1,1,1,1,0
7,1,2,9,0,0,,12,11,2,1,9,0,0,,12,4,0.5,0.5,1,1,1,0,0,0
8,1,2,3,3,3,,12,2,2,1,3,3,3,,12,2,0.5,0.5,1,1,1,1,1,0
9,6,0,1,2,3,,12,3,6,0,2,1,3,,12,11,0.5,0.5,1,0,1,1,1,0
10,0,1,2,6,3,,12,7,0,2,1,0,9,,12,4,0.5,0.5,0,1,1,1,1,0
11,1,2,1,8,0,,12,10,2,1,8,1,0,,12,11,0.5,0.5,1,1,1,1,0,0
12,1,1,5,5,0,,12,8,2,2,4,4,0,,12,3,0.5,0.5,1,1,1,1,0,0
13,1,1,10,0,0,,12,0,2,2,8,0,0,,12,6,0.5,0.5,1,1,1,0,0,0
14,2,10,0,0,0,,12,10,4,8,0,0,0,,12,0,0.5,0.5,1,1,0,0,0,0
15,0,0,3,1,8,,12,1,0,0,1,3,8,,12,1,0.5,0.5,0,0,1,1,1,0
16,4,4,0,3,1,,12,3,4,4,0,1,3,,12,2,0.5,0.5,1,1,0,1,1,0
17,3,3,1,2,3,,12,11,3,1,3,2,3,,12,3,0.5,0.5,1,1,1,1,1,0
18,1,1,7,0,3,,12,5,3,7,1,0,1,,12,2,0.5,0.5,1,1,1,0,1,0
19,6,0,3,1,2,,12,2,6,0,1,3,2,,12,6,0.5,0.5,1,0,1,1,1,0
20,0,8,0,3,1,,12,8,4,4,0,1,3,,12,3,0.5,0.5,1,1,0,1,1,0
21,1,9,0,0,2,,12,9,2,9,0,0,1,,12,2,0.5,0.5,1,1,0,0,1,0
22,1,3,3,3,2,,12,3,2,3,3,3,1,,12,0,0.5,0.5,1,1,1,1,1,0
23,3,6,0,2,1,,12,4,3,6,0,1,2,,12,7,0.5,0.5,1,1,0,1,1,0
24,2,1,0,9,0,,12,7,1,2,6,3,0,,12,3,0.5,0.5,1,1,1,1,0,0
25,1,8,1,0,2,,12,7,2,1,8,0,1,,12,4,0.5,0.5,1,1,1,0,1,0
26,2,4,4,0,2,,12,5,1,5,5,0,1,,12,9,0.5,0.5,1,1,1,0,1,0
27,2,2,8,0,0,,12,3,1,1,10,0,0,,12,0,0.5,0.5,1,1,1,0,0,0
28,4,8,0,0,0,,12,7,2,10,0,0,0,,12,4,0.5,0.5,1,1,0,0,0,0
29,8,0,0,1,3,,12,0,8,0,0,3,1,,12,1,0.5,0.5,1,0,0,1,1,0
30,0,1,3,4,4,,12,11,0,3,1,4,4,,12,2,0.5,0.5,0,1,1,1,1,0
31,3,3,1,3,2,,12,9,3,3,3,1,2,,12,6,0.5,0.5,1,1,1,1,1,0
32,1,3,7,1,0,,12,10,3,1,1,7,0,,12,5,0.5,0.5,1,1,1,1,0,0
33,1,3,2,6,0,,12,9,3,1,2,6,0,,12,6,0.5,0.5,1,1,1,1,0,0
34,1,3,4,4,0,,12,4,3,1,0,8,0,,12,2,0.5,0.5,1,1,1,1,0,0
35,2,9,0,0,1,,12,7,1,9,0,0,2,,12,10,0.5,0.5,1,1,0,0,1,0
36,3,3,1,2,3,,12,8,3,3,2,1,3,,12,6,0.5,0.5,1,1,1,1,1,0
37,1,2,3,6,0,,12,6,2,1,3,6,0,,12,4,0.5,0.5,1,1,1,1,0,0
38,1,2,6,3,0,,12,8,2,1,0,9,0,,12,4,0.5,0.5,1,1,1,1,0,0
39,2,1,8,0,1,,12,8,1,8,1,0,2,,12,0,0.5,0.5,1,1,1,0,1,0
40,5,5,0,1,1,,12,4,4,4,0,2,2,,12,11,0.5,0.5,1,1,0,1,1,0
41,1,10,0,0,1,,12,0,2,8,0,0,2,,12,4,0.5,0.5,1,1,0,0,1,0
42,0,0,2,10,0,,12,3,0,0,4,8,0,,12,6,0.5,0.5,0,0,1,1,0,0
43,3,1,8,0,0,,12,11,1,3,8,0,0,,12,5,0.5,0.5,1,1,1,0,0,0
49,9,0,0,2,1,,12,1,9,0,0,1,2,,12,2,0.5,0.5,1,0,0,1,1,0
54,0,2,2,4,4,,12,4,0,1,1,5,5,,12,6,0.5,0.5,0,1,1,1,1,0
55,2,8,0,0,2,,12,11,1,10,0,0,1,,12,9,0.5,0.5,1,1,0,0,1,0
